1845 Dec 17,4,1
1845 Feb 25,6,1
1845 Jul 7,6,1
1845 Jul-Aug,6,1
1845 Jun 18,10,1
1845 Jun 20,8,1
1845 Jun 30,1,1
1845 Mar 17,11,1
1845 Mar 28,10,1
1845 Nov 18,7,1
1845 Sep 3,5,1
"1845, 1852",12,1
1845-46,6,1
1845-51,11,1
1845-52,4,1
1845-52,7,1
1845-53,2,1
1845-57,2,1
1845-61,5,1
1846 Apr 13,7,1
1846 Apr 17,8,1
1846 Apr 22,11,1
1846 Aug,1,1
1846 Feb 2,9,1
1846 Feb 5,9,1
1846 Jul,5,1
1846 Jun 10,4,1
1846 Jun 3,11,1
1846 Mar 31,9,1
1846-51,10,1
1846-56,2,1
1846-57,6,1
1847 Apr 13,7,1
1847 Jul-Aug,9,1
1847 Nov 26,10,1
1847 Sep 24,7,1
"1847, 1848",11,1
1847-50,10,1
1847-52,9,1
1848 Aug,5,1
1848 Jun 2,7,1
1848 Mar 1,5,1
1848 Mar 28,9,1
1848-49,2,1
1848-50,12,1
1848-54,5,1
1849 Apr,9,1
1849 Dec 27,12,1
1849 Feb 28,2,1
1849 Jan 17,9,1
1849 Jan 22,13,1
1849 Jan 7,12,1
1849 Jan 8,7,1
1849 Jan 8,9,1
1849 Jan-May,11,1
1849 Jun 11,10,1
1849 Mar 28,5,1
1849 Mar-Apr,12,1
1849 Oct,7,1
"1849, 1850",8,1
"1849, 1850",9,1
"1849, 1852",12,1
"1849, 1855",9,1
1849-50,6,1
1849-52,11,1
1849-56,1,1
1850 Apr,11,1
1850 Apr 22,6,1
1850 Aug,1,1
1850 Dec 21,6,1
1850 Feb 2,11,1
1850 Feb 20,8,1
1850 Jan 15,1,1
1850 Jan 19,13,1
1850 Jan 23,9,1
1850 Jul 12,13,1
1850 Jul-Sep,10,1
1850 Jun 14,4,1
1850 Jun 21,12,1
1850 Jun 5,5,1
1850 Jun 9,3,1
"1850 Jun, Sep",2,1
1850 May,2,1
1850 Nov 30,11,1
1850 Sep 10,6,1
1850 Sep 17,9,1
"1850, 1852",12,1
1850-51,3,1
1850-51,7,1
1850-51,11,1
1850-52,1,1
1850-52,12,1
1850-53,7,1
1850-60,5,1
1850-61,5,1
1850-[56?],4,1
1851 Mar 21,4,1
1851 May,5,1
1851 May 9,4,1
1851 Oct 23,13,1
1851 Sep 26,4,1
1851-52,6,1
1851-53,7,1
1851-58,8,1
1852 Aug,2,1
1852 Aug 9,10,1
"1852 Jan, Mar",4,1
1852 Jul 30,13,1
1852 Jul 9,8,1
1852 Jun 3,7,1
1852 Jun-Sep,1,1
1852 May 29,5,1
1852 May-Jun,2,1
1852 Oct 27,3,1
1852 Sep 6,12,1
1852-53,10,1
1853 Apr,5,1
"1853 Feb, May",5,1
1853 Jan 15,9,1
1853 Jan-Aug,4,1
1853 Jan-Jun,2,1
1853 Jun 10,4,1
1853 Mar,6,1
1853 Mar,13,1
"1853 Mar, May",5,1
1853 Nov 10,1,1
1853-58,2,1
1854 Feb,4,1
1854 Jan 17,5,1
1854 Jul 28,4,1
1854 Jul 30,2,1
"1854 Jul, Oct",1,1
1854 Jun 5,7,1
1854 Jun-Sep,9,1
1854 Nov 23,9,1
"1854, 1855",4,1
"1854, 1856",5,1
"1854, 1861",5,1
1854-55,4,1
1854-60,1,1
1855 Dec 21,6,1
1855 Jul,5,1
1855 Jul 10,6,1
1855 Mar 14,3,1
1856 Jul 3,2,1
1856 Jul 4,8,1
1856 Jun 30,6,1
1856 Oct 14,4,1
1856 Sep 4,9,1
1856-59,1,1
1856-60,5,1
1857 Aug 7,6,1
1857 Feb 20,4,1
"1857 Jul, Aug",9,1
"1857 Jul, Oct",11,1
1857 Jul-Aug,1,1
1857 Jul-Aug,4,1
1857 Jun,6,1
1857 Mar 30,1,1
1857 Sep 21,5,1
"1857, 1858",1,1
1858 Feb,9,1
1858 Jun 1,5,1
1858 Jun 16,10,1
1858 Jun-Jul,7,1
1858-59,1,1
1859 Aug 23,3,1
1859 Jul,2,1
1859 Jul 18,4,1
1859 Jul-Oct,2,1
1859 Mar 9,4,1
1859 Nov 28,1,1
"1859, 1860",1,1
1860 Apr,4,1
1860 Feb-Oct,4,1
"1860 Jan, Feb",3,1
"1860 Jan, Jul",7,1
"1860 Jul, Oct",9,1
1860 Mar,1,1
1860 May 14,4,1
1860 May 15,1,1
1860 May 3,7,1
"1860 Oct, Dec",2,1
"1860, 1865",2,1
1860-61,6,1
1861 Apr 22,5,1
1861 Apr 25,9,1
1861 Apr 30,7,1
1861 Apr 30,8,1
"1861 Apr, Nov",3,1
1861 Feb-Jul,4,1
"1861 Mar, Nov",3,1
"1861 Mar, Nov",4,1
1861 May,4,1
1861 Nov 23,4,1
1861 Oct 22,7,1
"1861, 1862",2,1
"1861, 1862",5,1
"1861, 1862",6,1
1862 Mar 14,12,1
1862 May 5,5,1
1863-65,11,1
1865 Aug 11,3,1
[1806 or later],2,1
[1815 or later],7,1
[1815 or later],10,1
[1820]-26,2,1
[1821 or later],5,1
[1822 or later],4,1
[1823 or later],7,1
[1823 or later],9,1
[1823-28],10,1
[1823]-38,11,1
[1823]-44,3,4
[1824 or later],1,1
[1824-47],6,1
[1824]-40,7,1
[1825 or later],6,1
[1825 or later],8,1
[1825 or later],11,1
"[1825], 1831",11,1
[1825]-31,10,1
[1826]-31,10,1
[1826]-35,8,1
[1827 or later],9,1
[1827]-29,12,1
[1828 or later],11,1
[1828-37],8,1
[1828],10,1
"[1828], 1833",10,1
"[1828], 1834",11,1
[1828]-38,9,1
[1828]-50,10,1
[1828]-53,6,1
[1829 or later],12,1
[1829-32],4,1
"[1829], 1833",4,1
[1829]-45,11,1
[1829]-57,4,1
[1830 or later],8,1
[1830]-38,9,1
[1830]-58,12,6
[1831 or later],5,2
[1831 or later],6,1
[1832 or later],7,1
[1832]-33,11,1
[1832]-37,9,1
[1832]-53,10,1
[1833]-38,2,1
[1833]-45,5,1
[1834 or later],2,1
[1834 or later],10,1
[1834]-53,1,1
[1835]-45,9,1
[1836 or later],1,1
[1836 or later],13,1
[1836]-41,3,1
[1837 or later],7,1
[1837 or later],8,1
[1838 or later],12,1
[1838-48],8,1
[1839 or later],1,1
[1839]-45,11,1
[1840 or later],7,1
[1841 or later],10,1
[1841 or later],11,1
[1842 or later],13,1
[1842]-52,8,1
[1843-49],7,2
[1846 or later],3,1
[1846 or later],4,1
[1849 or later],7,1
[1849?] Jun 16,9,1
[1849],10,1
[1850 or later],13,1
"[1850], 1861",5,1
[1850]-1865,1,1
[1853 or later],4,1
[1856]-59,4,1
[1856]-60,5,1
[1857-62],2,1
[1859 or later],4,2
[1859 or later],8,1
[1860 or later],9,1
[1860?] Jul 24,3,1
[after 1831],7,1
[after 1834],4,1
[before 1835],2,1
[ca. 1849],4,1
[n.d.],11,1
n.d,4,1
n.d.,1,7
n.d.,2,5
n.d.,3,2
n.d.,4,5
n.d.,5,7
n.d.,6,2
n.d.,7,5
n.d.,8,1
n.d.,9,6
n.d.,10,6
n.d.,11,2
n.d.,12,5
n.d.,13,1
